datetime,pair,close
2025-10-31 10:46:59.999,ETHUSDT,3849.11
2025-10-31 10:47:59.999,ETHUSDT,3850.68
2025-10-31 10:48:59.999,ETHUSDT,3848.01
2025-10-31 10:49:59.999,ETHUSDT,3846.16
2025-10-31 10:50:59.999,ETHUSDT,3847.89
2025-10-31 10:51:59.999,ETHUSDT,3847.18
2025-10-31 10:52:59.999,ETHUSDT,3846.63
2025-10-31 10:53:59.999,ETHUSDT,3846.76
2025-10-31 10:54:59.999,ETHUSDT,3844.32
2025-10-31 10:55:59.999,ETHUSDT,3838.99
2025-10-31 10:56:59.999,ETHUSDT,3838.38
2025-10-31 10:57:59.999,ETHUSDT,3838.11
2025-10-31 10:58:59.999,ETHUSDT,3834.43
2025-10-31 10:59:59.999,ETHUSDT,3835.83
2025-10-31 11:00:59.999,ETHUSDT,3836.57
2025-10-31 11:01:59.999,ETHUSDT,3834.62
2025-10-31 11:02:59.999,ETHUSDT,3833.34
2025-10-31 11:03:59.999,ETHUSDT,3835.45
2025-10-31 11:04:59.999,ETHUSDT,3832.29
2025-10-31 11:05:59.999,ETHUSDT,3831.05
2025-10-31 11:06:59.999,ETHUSDT,3833.39
2025-10-31 11:07:59.999,ETHUSDT,3831.01
2025-10-31 11:08:59.999,ETHUSDT,3831.05
2025-10-31 11:09:59.999,ETHUSDT,3833.73
2025-10-31 11:10:59.999,ETHUSDT,3835.38
2025-10-31 11:11:59.999,ETHUSDT,3835.66
2025-10-31 11:12:59.999,ETHUSDT,3832.32
2025-10-31 11:13:59.999,ETHUSDT,3831.19
2025-10-31 11:14:59.999,ETHUSDT,3830.96
2025-10-31 11:15:59.999,ETHUSDT,3831.37
2025-10-31 11:16:59.999,ETHUSDT,3829.23
2025-10-31 11:17:59.999,ETHUSDT,3829.19
2025-10-31 11:18:59.999,ETHUSDT,3829.64
2025-10-31 11:19:59.999,ETHUSDT,3832.8
2025-10-31 11:20:59.999,ETHUSDT,3834.15
2025-10-31 11:21:59.999,ETHUSDT,3833.04
2025-10-31 11:22:59.999,ETHUSDT,3835.29
2025-10-31 11:23:59.999,ETHUSDT,3834.23
2025-10-31 11:24:59.999,ETHUSDT,3835.06
2025-10-31 11:25:59.999,ETHUSDT,3835.19
2025-10-31 11:26:59.999,ETHUSDT,3833.16
2025-10-31 11:27:59.999,ETHUSDT,3835.64
2025-10-31 11:28:59.999,ETHUSDT,3836.87
2025-10-31 11:29:59.999,ETHUSDT,3835.11
2025-10-31 11:30:59.999,ETHUSDT,3838.09
2025-10-31 11:31:59.999,ETHUSDT,3836.97
2025-10-31 11:32:59.999,ETHUSDT,3835.17
2025-10-31 11:33:59.999,ETHUSDT,3834.2
2025-10-31 11:34:59.999,ETHUSDT,3835.32
2025-10-31 11:35:59.999,ETHUSDT,3836.85
2025-10-31 11:36:59.999,ETHUSDT,3836.86
2025-10-31 11:37:59.999,ETHUSDT,3836.59
2025-10-31 11:38:59.999,ETHUSDT,3836.58
2025-10-31 11:39:59.999,ETHUSDT,3836.57
2025-10-31 11:40:59.999,ETHUSDT,3838.41
2025-10-31 11:41:59.999,ETHUSDT,3839.64
2025-10-31 11:42:59.999,ETHUSDT,3843.33
2025-10-31 11:43:59.999,ETHUSDT,3842.5
2025-10-31 11:44:59.999,ETHUSDT,3842.58
2025-10-31 11:45:59.999,ETHUSDT,3847.83
2025-10-31 10:46:59.999,BTCUSDT,110029.1
2025-10-31 10:47:59.999,BTCUSDT,110015.9
2025-10-31 10:48:59.999,BTCUSDT,109977.97
2025-10-31 10:49:59.999,BTCUSDT,109918.21
2025-10-31 10:50:59.999,BTCUSDT,109967.73
2025-10-31 10:51:59.999,BTCUSDT,109977.8
2025-10-31 10:52:59.999,BTCUSDT,109969.01
2025-10-31 10:53:59.999,BTCUSDT,109950.53
