datetime,pair,close
2025-10-31 14:29:59.999,BTCUSDT,109805.08
2025-10-31 14:30:59.999,BTCUSDT,109630.2
2025-10-31 14:31:59.999,BTCUSDT,109703.21
2025-10-31 14:32:59.999,BTCUSDT,109703.2
2025-10-31 14:33:59.999,BTCUSDT,109794.57
2025-10-31 14:34:59.999,BTCUSDT,109824.41
2025-10-31 14:35:59.999,BTCUSDT,109992.0
2025-10-31 14:36:59.999,BTCUSDT,110034.02
2025-10-31 14:37:59.999,BTCUSDT,110035.07
2025-10-31 14:38:59.999,BTCUSDT,110038.67
2025-10-31 14:39:59.999,BTCUSDT,110031.99
2025-10-31 14:40:59.999,BTCUSDT,109981.13
2025-10-31 14:41:59.999,BTCUSDT,110029.49
2025-10-31 14:42:59.999,BTCUSDT,109986.81
2025-10-31 14:43:59.999,BTCUSDT,110048.43
2025-10-31 14:44:59.999,BTCUSDT,110028.59
2025-10-31 14:45:59.999,BTCUSDT,110079.21
2025-10-31 14:46:59.999,BTCUSDT,110027.33
2025-10-31 14:47:59.999,BTCUSDT,110020.85
2025-10-31 14:48:59.999,BTCUSDT,110051.99
2025-10-31 14:49:59.999,BTCUSDT,110021.93
2025-10-31 14:50:59.999,BTCUSDT,110121.93
2025-10-31 14:51:59.999,BTCUSDT,110117.36
2025-10-31 14:52:59.999,BTCUSDT,110162.36
2025-10-31 14:53:59.999,BTCUSDT,110433.76
2025-10-31 14:54:59.999,BTCUSDT,110660.6
2025-10-31 14:55:59.999,BTCUSDT,110787.22
2025-10-31 14:56:59.999,BTCUSDT,110969.22
2025-10-31 14:57:59.999,BTCUSDT,110898.06
2025-10-31 14:58:59.999,BTCUSDT,110811.98
2025-10-31 14:59:59.999,BTCUSDT,110790.14
2025-10-31 15:00:59.999,BTCUSDT,110789.71
2025-10-31 15:01:59.999,BTCUSDT,110647.87
2025-10-31 15:02:59.999,BTCUSDT,110606.84
2025-10-31 15:03:59.999,BTCUSDT,110549.99
2025-10-31 15:04:59.999,BTCUSDT,110506.43
2025-10-31 15:05:59.999,BTCUSDT,110471.13
2025-10-31 15:06:59.999,BTCUSDT,110466.35
2025-10-31 15:07:59.999,BTCUSDT,110577.06
2025-10-31 15:08:59.999,BTCUSDT,110860.24
2025-10-31 15:09:59.999,BTCUSDT,111064.1
2025-10-31 15:10:59.999,BTCUSDT,110970.5
2025-10-31 15:11:59.999,BTCUSDT,110807.9
2025-10-31 15:12:59.999,BTCUSDT,110780.05
2025-10-31 15:13:59.999,BTCUSDT,110715.75
2025-10-31 15:14:59.999,BTCUSDT,110783.77
2025-10-31 15:15:59.999,BTCUSDT,110750.05
2025-10-31 15:16:59.999,BTCUSDT,110778.0
2025-10-31 15:17:59.999,BTCUSDT,110686.97
2025-10-31 15:18:59.999,BTCUSDT,110695.25
2025-10-31 15:19:59.999,BTCUSDT,110788.11
2025-10-31 15:20:59.999,BTCUSDT,110709.18
2025-10-31 15:21:59.999,BTCUSDT,110654.2
2025-10-31 15:22:59.999,BTCUSDT,110617.07
2025-10-31 15:23:59.999,BTCUSDT,110600.01
2025-10-31 15:24:59.999,BTCUSDT,110532.52
2025-10-31 15:25:59.999,BTCUSDT,110430.0
2025-10-31 15:26:59.999,BTCUSDT,110470.44
2025-10-31 15:27:59.999,BTCUSDT,110476.23
2025-10-31 15:28:59.999,BTCUSDT,110476.23
